begintrip_at,begintrip_lat,begintrip_lng,dropoff_lat,dropoff_lng,uid
2015-02-25_20:27:27,36.1709,-86.6789,36.1743,-86.6953,884
2015-02-01_21:49:33,36.1732,-86.6794,36.1764,-86.6941,0c8
2015-02-01_05:08:10,36.1635,-86.7019,36.1784,-86.6985,0ee
2015-02-14_04:29:26,36.1714,-86.7629,36.1545,-86.7353,e3a
2015-02-15_06:20:44,36.1629,-86.7012,36.1668,-86.7569,dc2
2015-02-25_02:05:40,36.1603,-86.7019,36.1802,-86.6742,a7a
2015-02-20_22:35:11,36.1664,-86.7547,36.1561,-86.7309,c78
2015-02-24_02:22:14,36.1849,-86.6642,36.1999,-86.6998,37a
2015-02-12_03:40:17,36.1776,-86.6937,36.1646,-86.6723,53a
2015-02-13_04:59:07,36.1691,-86.7012,36.1706,-86.7069,29c
2015-02-25_00:57:10,36.1789,-86.692,36.1735,-86.6903,65e
2015-02-19_15:41:34,36.1789,-86.6974,36.1735,-86.6861,5e0
2015-02-14_01:10:31,36.1521,-86.7195,36.1754,-86.6791,80a
2015-02-26_22:28:57,36.1653,-86.6987,36.156,-86.7343,1d8
2015-02-23_00:11:00,36.1796,-86.6742,36.1764,-86.6721,7a0
2015-02-11_23:56:29,36.1762,-86.6783,36.1724,-86.6957,296
2015-02-18_07:17:31,36.1653,-86.7021,36.1766,-86.6957,55e
2015-02-15_01:41:47,36.1796,-86.6792,36.188,-86.7126,cfe
2015-02-09_18:36:41,36.1766,-86.6716,36.1665,-86.6867,574
2015-02-28_00:26:17,36.1667,-86.7031,36.1736,-86.6917,b4e
2015-02-27_03:28:01,36.1532,-86.7223,36.1623,-86.7366,b86
2015-02-21_07:59:53,36.1644,-86.751,36.1518,-86.7455,cf2
2015-02-27_06:56:46,36.1807,-86.6739,36.1681,-86.6825,ec8
2015-02-28_02:28:07,36.1552,-86.7461,36.1809,-86.6803,92c
2015-02-13_21:58:02,36.1711,-86.6481,36.1761,-86.6772,9f0
2015-02-07_03:20:18,36.1627,-86.7375,36.1548,-86.7225,86a
2015-02-06_15:20:26,36.1557,-86.7587,36.1715,-86.7616,fd4
2015-02-21_07:16:29,36.1557,-86.737,36.1574,-86.7657,624
2015-02-22_02:01:28,36.1727,-86.6864,36.1642,-86.6654,666
2015-02-07_03:41:03,36.1549,-86.7642,36.1901,-86.7106,1d2
2015-02-23_04:15:18,36.1831,-86.7174,36.1699,-86.7485,ca2
2015-02-24_14:16:42,36.1756,-86.6981,36.1671,-86.6989,a02
2015-02-07_01:35:48,36.1958,-86.6733,36.1762,-86.677,172
2015-02-13_23:30:07,36.1646,-86.6996,36.1697,-86.6688,bd8
2015-02-02_06:04:19,36.1618,-86.701,36.1725,-86.7732,900
2015-02-09_19:48:52,36.1555,-86.6737,36.1691,-86.7055,0fa
2015-02-07_04:34:40,36.1627,-86.736,36.1557,-86.7253,dac
2015-02-19_21:37:27,36.1632,-86.7397,36.1559,-86.7282,716
2015-02-05_10:52:52,36.1694,-86.7429,36.1797,-86.7783,87a
2015-02-14_16:26:51,36.1784,-86.6711,36.1707,-86.7091,be6
2015-02-21_06:16:58,36.1571,-86.7337,36.1835,-86.6804,9e2
2015-02-27_18:02:24,36.1688,-86.7026,36.1817,-86.7614,770
2015-02-21_07:12:14,36.1753,-86.6766,36.1696,-86.6702,fe8
2015-02-01_01:15:58,36.1771,-86.7305,36.1589,-86.7631,06c
2015-02-12_07:38:24,36.1625,-86.6646,36.1777,-86.6763,ef2
2015-02-04_03:31:31,36.1674,-86.7521,36.1726,-86.7734,108
2015-02-19_01:12:59,36.1677,-86.6833,36.1697,-86.6705,4ee
2015-02-22_02:50:56,36.1664,-86.7526,36.1664,-86.7526,352
2015-02-16_14:30:34,36.1723,-86.6958,36.1706,-86.6871,ba0
2015-02-26_06:32:32,36.1762,-86.6774,36.1538,-86.6509,33a
2015-02-28_04:22:51,36.1754,-86.6791,36.1775,-86.6688,6dc
2015-02-14_01:22:29,36.1713,-86.7005,36.1654,-86.6923,9b0
2015-02-13_22:49:42,36.1801,-86.7514,36.1691,-86.7529,44a
2015-02-21_03:42:11,36.1704,-86.6859,36.1737,-86.6796,e7a
2015-02-15_07:06:08,36.1781,-86.6982,36.1708,-86.7074,662
2015-02-07_23:29:52,36.169,-86.7078,36.199,-86.6627,720
2015-02-14_22:35:19,36.1791,-86.7312,36.1684,-86.7512,8be
2015-02-12_02:46:25,36.1765,-86.7313,36.1632,-86.7402,3e2
2015-02-15_06:33:46,36.156,-86.7312,36.1493,-86.7082,452
2015-02-20_02:01:22,36.1714,-86.6859,36.1763,-86.6774,5cc
2015-02-19_07:01:46,36.1676,-86.703,36.194,-86.7036,26e
2015-02-20_23:03:07,36.1583,-86.7261,36.1709,-86.7075,030
2015-02-28_19:47:37,36.1758,-86.6779,36.168,-86.7533,b32
2015-02-11_23:09:53,36.1548,-86.715,36.1786,-86.6785,b30
2015-02-14_21:56:51,36.179,-86.6657,36.1677,-86.7533,d92
2015-02-12_03:06:47,36.1679,-86.6806,36.1763,-86.6774,416
2015-02-14_19:01:00,36.1768,-86.7679,36.1666,-86.7466,e1a
2015-02-15_19:14:36,36.1641,-86.6995,36.1747,-86.7346,d78
2015-02-16_19:42:27,36.1681,-86.7501,36.176,-86.6772,784
2015-02-27_13:05:07,36.1692,-86.7526,36.1701,-86.6891,188
2015-02-11_00:25:09,36.1699,-86.6816,36.1874,-86.6748,514
2015-02-27_01:35:12,36.1721,-86.6947,36.1776,-86.6762,9b4
2015-02-08_01:03:37,36.1763,-86.758,36.1822,-86.6676,58a
2015-02-15_17:18:30,36.1827,-86.7584,36.1936,-86.7064,3e0
2015-02-22_08:07:21,36.1511,-86.7211,36.1628,-86.7367,70c
2015-02-26_23:53:09,36.1729,-86.6858,36.1761,-86.6774,778
2015-02-21_10:17:34,36.1743,-86.7355,36.1787,-86.7213,1d2
2015-02-12_15:21:02,36.1736,-86.6916,36.167,-86.6992,9de
2015-02-08_00:23:38,36.1857,-86.6966,36.1761,-86.6772,188
2015-02-05_01:15:06,36.1554,-86.7623,36.1664,-86.7502,e0e
2015-02-02_13:15:14,36.1567,-86.7274,36.1648,-86.7475,5f0
2015-02-07_22:44:12,36.1676,-86.7496,36.1662,-86.7021,c58
2015-02-13_17:29:21,36.1741,-86.6676,36.1791,-86.6853,0f8
2015-02-20_03:01:37,36.1636,-86.7038,36.17,-86.7452,3c2
2015-02-22_05:15:35,36.1565,-86.7227,36.1632,-86.7375,f34
2015-02-21_23:13:00,36.1546,-86.7189,36.1812,-86.6728,e1e
2015-02-01_05:06:52,36.1509,-86.7202,36.1559,-86.7321,2f4
2015-02-28_03:04:43,36.1736,-86.6918,36.1709,-86.6771,554
2015-02-08_02:21:04,36.1798,-86.7654,36.1815,-86.7227,426
2015-02-15_15:24:08,36.1778,-86.684,36.1687,-86.701,616
2015-02-13_06:54:22,36.168,-86.7017,36.1529,-86.7355,b2e
2015-02-08_02:33:21,36.1606,-86.7561,36.166,-86.7437,532
2015-02-21_05:03:30,36.1724,-86.7735,36.1791,-86.7303,12e
2015-02-08_02:54:28,36.1867,-86.7105,36.1674,-86.7415,c90
2015-02-06_02:38:50,36.1829,-86.7731,36.1994,-86.6789,3f2
2015-02-01_04:41:46,36.1558,-86.7349,36.1764,-86.7332,53c
2015-02-12_07:38:26,36.1676,-86.6853,36.1776,-86.6867,5fa
2015-02-25_04:02:33,36.1684,-86.7494,36.1798,-86.7502,07e
2015-02-01_05:32:30,36.156,-86.7295,36.1761,-86.6771,36c
2015-02-20_15:34:06,36.1728,-86.6803,36.1673,-86.6909,542
2015-02-11_01:58:39,36.1773,-86.7299,36.1698,-86.7446,3b8
2015-02-17_14:52:00,36.1574,-86.6638,36.181,-86.6573,a3c
2015-02-15_09:28:49,36.1523,-86.7193,36.1638,-86.7001,d44
2015-02-20_00:43:38,36.177,-86.7479,36.1668,-86.7436,bf8
2015-02-08_08:32:40,36.1643,-86.7008,36.1868,-86.6874,62c
2015-02-14_23:54:52,36.1635,-86.742,36.1518,-86.727,d3c
2015-02-11_22:44:00,36.1555,-86.7375,36.1655,-86.7489,a92
2015-02-21_01:57:19,36.1722,-86.6962,36.177,-86.6974,4a8
2015-02-21_18:04:29,36.157,-86.7052,36.1683,-86.7013,b36
2015-02-23_21:59:52,36.1685,-86.7489,36.1803,-86.7439,6a8
2015-02-20_16:22:09,36.1535,-86.686,36.1809,-86.6733,7a0
2015-02-12_21:56:58,36.1557,-86.7268,36.1626,-86.7375,d38
2015-02-09_10:06:40,36.1557,-86.6646,36.1675,-86.7459,34e
2015-02-13_23:34:16,36.1668,-86.7037,36.1758,-86.7708,906
2015-02-26_05:51:05,36.1723,-86.7733,36.1735,-86.75,342
2015-02-26_19:40:51,36.1866,-86.664,36.1731,-86.6806,224
2015-02-28_03:58:03,36.1559,-86.7311,36.1534,-86.7336,d4a
2015-02-20_05:58:51,36.1678,-86.7034,36.1678,-86.7034,150
2015-02-19_14:49:29,36.1677,-86.7073,36.1677,-86.7073,eec
2015-02-14_08:35:54,36.183,-86.7173,36.1606,-86.7082,654
2015-02-21_02:07:06,36.1578,-86.7734,36.1552,-86.7378,78e
2015-02-07_03:47:30,36.18,-86.6925,36.1786,-86.6743,192
2015-02-07_17:46:46,36.1508,-86.75,36.1508,-86.7499,c92
2015-02-18_20:31:54,36.1799,-86.7503,36.1697,-86.7446,07e
2015-02-01_05:02:21,36.1843,-86.6919,36.1775,-86.6633,282
2015-02-27_23:05:03,36.1714,-86.7461,36.1676,-86.7166,b7a
2015-02-27_04:07:09,36.1867,-86.6965,36.1766,-86.6715,d52
2015-02-07_00:26:53,36.1664,-86.7347,36.1687,-86.7502,9fc
2015-02-01_09:41:20,36.1808,-86.6851,36.1715,-86.6864,0c8
2015-02-03_14:38:47,36.1629,-86.7279,36.1677,-86.7454,468
2015-02-14_22:10:22,36.1674,-86.7497,36.1764,-86.6763,bac
2015-02-12_03:18:14,36.1672,-86.686,36.1814,-86.6778,d84
2015-02-07_15:29:43,36.1691,-86.7456,36.1769,-86.732,43a
2015-02-28_15:23:58,36.1556,-86.728,36.1662,-86.7551,cb6
2015-02-12_16:05:34,36.1812,-86.7629,36.1674,-86.7028,f36
2015-02-09_23:14:34,36.18,-86.7227,36.1721,-86.7413,a7c
2015-02-07_04:22:13,36.1628,-86.6996,36.1558,-86.7312,2ee
2015-02-02_02:25:32,36.1687,-86.6707,36.1735,-86.6779,a54
2015-02-04_05:57:56,36.1673,-86.691,36.1664,-86.7349,c5c
2015-02-25_02:10:52,36.1763,-86.6605,36.1871,-86.7073,e1c
2015-02-23_04:24:06,36.1705,-86.7453,36.169,-86.7016,534
2015-02-13_05:45:10,36.1637,-86.7283,36.1677,-86.703,986
2015-02-22_06:47:39,36.1557,-86.726,36.1557,-86.7261,b76
2015-02-27_03:46:38,36.1559,-86.7279,36.173,-86.7581,fa6
2015-02-15_08:18:10,36.1709,-86.7073,36.1644,-86.698,8b4
2015-02-20_06:45:05,36.156,-86.7314,36.1655,-86.7051,488
2015-02-20_23:16:31,36.1768,-86.6961,36.1709,-86.7453,6be
2015-02-26_22:50:11,36.164,-86.7481,36.1862,-86.7138,246
2015-02-19_00:30:45,36.18,-86.7608,36.18,-86.7608,5a6
2015-02-01_21:09:49,36.1676,-86.6858,36.1705,-86.743,684
2015-02-26_03:35:38,36.1683,-86.7525,36.1655,-86.7051,514
2015-02-18_15:40:44,36.1709,-86.6782,36.1675,-86.6855,6a6
2015-02-20_15:05:27,36.1681,-86.7085,36.1637,-86.7479,80e
2015-02-09_23:49:05,36.1636,-86.7421,36.1592,-86.763,8dc
2015-02-20_05:47:48,36.1664,-86.6991,36.1633,-86.7004,496
2015-02-01_01:55:40,36.1556,-86.7202,36.1823,-86.6677,358
2015-02-13_01:33:46,36.1709,-86.7078,36.1692,-86.7014,02e
2015-02-22_06:53:21,36.1557,-86.7317,36.1543,-86.7153,fee
2015-02-06_17:42:09,36.175,-86.6957,36.1747,-86.7348,d84
2015-02-22_17:05:48,36.1776,-86.6937,36.17,-86.743,12c
2015-02-27_00:34:20,36.1551,-86.6562,36.1841,-86.6905,63c
2015-02-03_16:28:43,36.1525,-86.7057,36.1697,-86.7016,c20
2015-02-16_02:09:56,36.1735,-86.6903,36.1681,-86.6824,65e
2015-02-13_22:13:37,36.1711,-86.6869,36.1697,-86.6694,ac2
2015-02-27_20:36:46,36.1546,-86.7148,36.1634,-86.6992,e0e
2015-02-20_03:32:42,36.1752,-86.6961,36.1635,-86.7422,c18
2015-02-22_22:54:08,36.1952,-86.6672,36.1556,-86.7239,8c8
2015-02-15_07:32:27,36.1558,-86.725,36.1558,-86.7251,6e0
2015-02-14_02:34:03,36.18,-86.6822,36.1839,-86.6737,0d0
2015-02-02_23:57:11,36.168,-86.7492,36.1856,-86.6488,2f4
2015-02-08_17:35:25,36.1659,-86.7083,36.1713,-86.7419,3a4
2015-02-01_01:58:27,36.1815,-86.6684,36.1936,-86.7063,610
2015-02-22_04:45:44,36.166,-86.7551,36.1559,-86.7318,d92
2015-02-08_01:11:44,36.1644,-86.6982,36.1576,-86.7224,ede
2015-02-01_03:44:19,36.1636,-86.7422,36.1519,-86.7152,fa2
2015-02-07_21:06:24,36.1772,-86.7301,36.1673,-86.68,bc2
2015-02-04_20:05:57,36.1557,-86.7634,36.1659,-86.7414,51c
2015-02-20_17:16:05,36.1675,-86.7525,36.1664,-86.6991,13a
2015-02-15_06:11:48,36.2011,-86.7008,36.1881,-86.6994,b24
2015-02-22_07:45:35,36.156,-86.7289,36.1628,-86.7358,b28
2015-02-26_21:48:49,36.1661,-86.7552,36.1785,-86.7727,26e
2015-02-15_02:15:19,36.1642,-86.6704,36.1888,-86.6893,07e
2015-02-12_15:02:39,36.1632,-86.7393,36.1676,-86.7445,b80
2015-02-01_05:30:19,36.1611,-86.757,36.1506,-86.7566,22e
2015-02-21_03:17:15,36.152,-86.7521,36.1762,-86.6767,266
2015-02-14_02:40:11,36.1736,-86.6907,36.1784,-86.6902,744
2015-02-13_12:20:40,36.1516,-86.6861,36.17,-86.743,5bc
2015-02-13_02:22:42,36.1648,-86.7016,36.1587,-86.7047,1d8
2015-02-10_03:20:06,36.1701,-86.745,36.1734,-86.6777,25e
2015-02-10_18:29:29,36.1736,-86.7526,36.1815,-86.7634,b40
2015-02-28_07:42:16,36.1677,-86.7034,36.1739,-86.6976,6b8
2015-02-09_00:48:38,36.1665,-86.7355,36.1642,-86.6622,d58
2015-02-11_01:09:22,36.1664,-86.6961,36.1867,-86.701,e1c
2015-02-08_23:13:43,36.1855,-86.664,36.1659,-86.7551,646
2015-02-01_15:30:08,36.1809,-86.7611,36.1907,-86.6882,308
2015-02-15_04:14:18,36.1525,-86.7359,36.1611,-86.7017,d20
2015-02-20_23:19:18,36.1611,-86.7632,36.1714,-86.7465,ae0
2015-02-28_06:52:24,36.1557,-86.7325,36.1685,-86.6684,0ca
2015-02-28_02:50:24,36.1698,-86.7464,36.1639,-86.7027,070
2015-02-01_16:49:01,36.1943,-86.7059,36.1694,-86.6996,5c6
2015-02-10_22:40:17,36.17,-86.6902,36.1795,-86.6924,332
2015-02-12_19:36:33,36.1549,-86.7119,36.1623,-86.7365,796
2015-02-15_01:32:28,36.1806,-86.6677,36.1663,-86.7026,68a
2015-02-20_00:20:51,36.1734,-86.7548,36.1664,-86.7552,26c
2015-02-04_03:40:25,36.1907,-86.688,36.1694,-86.6856,308
2015-02-11_01:45:54,36.1559,-86.7284,36.1648,-86.7494,3a8
2015-02-22_22:06:23,36.1819,-86.7211,36.1674,-86.6859,970
2015-02-09_15:46:06,36.1666,-86.7329,36.1785,-86.7481,6c6
2015-02-18_12:12:10,36.1834,-86.6777,36.1704,-86.7414,43a
2015-02-21_04:36:28,36.1696,-86.7449,36.1891,-86.7115,998
2015-02-16_01:04:50,36.1762,-86.7502,36.1562,-86.7614,e76
2015-02-05_05:32:15,36.1728,-86.7696,36.1726,-86.7695,9da
2015-02-10_13:57:34,36.1767,-86.6943,36.1673,-86.7009,f58
2015-02-10_09:53:03,36.1608,-86.7645,36.1815,-86.6888,aa6
2015-02-18_05:15:31,36.156,-86.7309,36.1751,-86.6951,c46
2015-02-15_22:52:49,36.1709,-86.7092,36.1597,-86.702,62a
2015-02-01_04:06:45,36.1635,-86.742,36.1535,-86.7289,128
2015-02-06_22:49:29,36.1673,-86.7466,36.1559,-86.727,668
2015-02-25_14:20:42,36.1608,-86.6697,36.1817,-86.658,504
2015-02-27_23:03:11,36.1793,-86.7304,36.1699,-86.7461,868
2015-02-07_23:00:24,36.1673,-86.7576,36.1652,-86.7402,d10
2015-02-19_23:22:58,36.1701,-86.7431,36.1777,-86.6937,12c
2015-02-11_02:05:14,36.1542,-86.7363,36.1664,-86.7347,36c
2015-02-22_20:18:27,36.1931,-86.7783,36.1733,-86.7753,02a
2015-02-02_20:23:46,36.1852,-86.6641,36.1707,-86.6871,c18
2015-02-08_03:46:45,36.1698,-86.7017,36.1608,-86.7072,18e
2015-02-11_01:49:13,36.1715,-86.7004,36.186,-86.6948,0f0
2015-02-07_06:23:17,36.1644,-86.7038,36.1554,-86.7377,884
2015-02-01_09:19:49,36.1584,-86.6646,36.1589,-86.698,67c
2015-02-21_03:04:16,36.1943,-86.7059,36.1941,-86.7053,868
2015-02-18_21:52:31,36.1848,-86.6602,36.1848,-86.6605,23c
2015-02-05_22:48:35,36.185,-86.6927,36.177,-86.6622,81c
2015-02-13_05:33:16,36.1648,-86.7015,36.1675,-86.7029,e6c
2015-02-01_06:16:59,36.1762,-86.677,36.1827,-86.6806,af4
2015-02-13_00:32:04,36.1688,-86.7017,36.1554,-86.7115,32c
2015-02-04_17:00:28,36.17,-86.6755,36.1692,-86.6991,412
2015-02-15_04:45:41,36.1842,-86.6734,36.1559,-86.732,a1a
2015-02-06_14:42:41,36.1792,-86.6641,36.1675,-86.6859,d84
2015-02-07_17:16:02,36.1659,-86.7413,36.1557,-86.7111,b88
2015-02-21_19:54:24,36.1923,-86.7078,36.1802,-86.7148,8ac
2015-02-13_01:42:08,36.1803,-86.6822,36.1538,-86.6861,318
2015-02-22_00:12:37,36.1691,-86.7526,36.17,-86.6876,364
2015-02-03_22:10:52,36.1536,-86.6841,36.1674,-86.6859,7de
2015-02-11_01:44:02,36.1692,-86.6969,36.164,-86.7375,418
2015-02-14_06:06:22,36.1683,-86.7524,36.1559,-86.7311,592
2015-02-08_00:25:08,36.1776,-86.6998,36.1695,-86.7529,5a4
2015-02-22_06:04:53,36.1501,-86.688,36.1759,-86.682,bdc
2015-02-06_23:07:32,36.1744,-86.6966,36.168,-86.7502,ba2
2015-02-09_05:28:42,36.1802,-86.6743,36.1883,-86.6898,afc
2015-02-27_20:48:50,36.1641,-86.7503,36.1536,-86.7119,3b8
2015-02-12_08:10:38,36.1754,-86.6789,36.1735,-86.6903,126
2015-02-13_00:29:26,36.1775,-86.6761,36.1719,-86.6811,ef2
2015-02-03_15:16:35,36.1759,-86.6952,36.17,-86.6902,742
2015-02-15_02:16:57,36.1676,-86.7523,36.1668,-86.7472,b6a
2015-02-22_20:04:03,36.1755,-86.6981,36.1686,-86.6989,f5a
2015-02-21_06:30:32,36.1592,-86.7023,36.171,-86.6869,d30
2015-02-14_01:34:16,36.1508,-86.6838,36.1726,-86.7737,1ce
2015-02-16_14:52:40,36.1548,-86.7389,36.1651,-86.7477,8b4
2015-02-20_22:27:23,36.1792,-86.7303,36.1671,-86.7465,89e
2015-02-06_14:53:46,36.1765,-86.757,36.1678,-86.7458,dc2
2015-02-21_05:15:17,36.1656,-86.7539,36.1737,-86.6976,580
2015-02-07_01:40:00,36.1928,-86.7055,36.1887,-86.6895,466
2015-02-23_22:43:25,36.1687,-86.7522,36.1725,-86.7737,268
2015-02-01_02:32:54,36.1643,-86.6711,36.1765,-86.6775,f4c
2015-02-27_00:00:08,36.1675,-86.7312,36.1548,-86.7304,974
2015-02-14_03:52:20,36.1843,-86.6647,36.1725,-86.6912,836
2015-02-18_03:06:00,36.1648,-86.7403,36.1762,-86.6768,89e
2015-02-15_05:37:52,36.1766,-86.6787,36.1697,-86.6707,708
2015-02-15_03:21:42,36.1664,-86.7345,36.1676,-86.703,3ee
2015-02-18_16:52:55,36.1639,-86.7489,36.1653,-86.7398,7ca
2015-02-06_06:05:23,36.1783,-86.6984,36.1686,-86.701,814
2015-02-06_23:09:52,36.1625,-86.7374,36.1551,-86.7117,30e
2015-02-17_13:45:42,36.1723,-86.6959,36.17,-86.6869,0b4
2015-02-07_08:09:31,36.176,-86.6751,36.1768,-86.6945,f58
2015-02-27_04:20:27,36.1617,-86.7068,36.1617,-86.7068,874
2015-02-21_01:13:42,36.1632,-86.7398,36.1641,-86.7405,9ae
2015-02-20_21:39:31,36.1766,-86.6752,36.1735,-86.6878,308
2015-02-05_22:10:47,36.1629,-86.7743,36.1826,-86.6676,f8e
2015-02-24_17:38:44,36.1753,-86.7662,36.1542,-86.7504,874
2015-02-16_05:24:14,36.1513,-86.7492,36.1569,-86.7377,f36
2015-02-08_23:20:47,36.1583,-86.757,36.1689,-86.7461,238
2015-02-22_12:53:13,36.1603,-86.6652,36.1802,-86.6742,a20
2015-02-19_01:36:27,36.1674,-86.7522,36.1697,-86.747,432
2015-02-15_00:15:48,36.165,-86.6991,36.1879,-86.6759,9ca
2015-02-28_16:20:22,36.1679,-86.7497,36.186,-86.7342,60e
2015-02-10_01:32:39,36.1677,-86.7019,36.1541,-86.7078,a40
2015-02-27_03:47:08,36.174,-86.674,36.1672,-86.6909,374
2015-02-09_04:46:04,36.1668,-86.6885,36.1734,-86.6783,e9c
2015-02-15_20:15:05,36.1778,-86.6925,36.17,-86.7427,700
2015-02-07_17:49:08,36.1657,-86.754,36.17,-86.6814,dbc
2015-02-23_19:20:16,36.1666,-86.7533,36.1844,-86.6912,b14
2015-02-23_15:46:32,36.152,-86.7955,36.1867,-86.7651,9ec
2015-02-13_17:19:25,36.1682,-86.7085,36.1701,-86.7357,d74
2015-02-12_17:03:31,36.1674,-86.685,36.1827,-86.6723,694
2015-02-20_06:09:37,36.1737,-86.6777,36.1676,-86.6837,83a
2015-02-24_16:51:45,36.1695,-86.7422,36.1641,-86.7394,9e6
2015-02-17_01:38:24,36.1676,-86.6858,36.1676,-86.6858,f2c
2015-02-01_05:18:25,36.1559,-86.7317,36.1629,-86.701,90c
2015-02-11_02:18:44,36.1717,-86.7426,36.179,-86.6738,f2c
2015-02-24_18:15:17,36.1854,-86.6937,36.1676,-86.7555,8c2
2015-02-15_14:59:52,36.1714,-86.6866,36.17,-86.7427,886
2015-02-28_04:22:56,36.1664,-86.7526,36.1899,-86.742,fd8
2015-02-07_05:18:33,36.176,-86.6772,36.1561,-86.7302,7e2
2015-02-01_05:35:32,36.1559,-86.7369,36.1826,-86.6733,2a4
2015-02-24_14:52:06,36.1893,-86.6947,36.1812,-86.6781,19c
2015-02-21_18:02:22,36.183,-86.6832,36.18,-86.6745,6c4
2015-02-27_13:52:24,36.1748,-86.6935,36.1673,-86.7051,620
2015-02-26_18:07:26,36.1721,-86.6939,36.1558,-86.7256,31c
2015-02-07_12:04:16,36.173,-86.6803,36.165,-86.7515,2ec
2015-02-22_06:01:26,36.1559,-86.7304,36.152,-86.7113,882
2015-02-01_20:03:57,36.1756,-86.677,36.1831,-86.6694,8e8
